graph_id,neato_xing,sfdp_xing,smartgd_xing,diff_gd_xing
grafo2392.14,0,0,0.0,0
grafo983.19,0,0,0.0,0
grafo11372.33,6,7,7.0,6
grafo5550.42,19,28,15.0,14
grafo7686.41,19,16,12.0,14
grafo6007.45,7,12,8.0,6
grafo3957.57,39,32,40.0,28
grafo6776.46,49,53,46.0,39
grafo5069.64,31,27,30.0,26
grafo4730.58,50,37,41.0,34
grafo6185.51,29,31,27.0,21
grafo2931.11,0,0,0.0,0
grafo2194.48,4,4,3.0,4
grafo9873.35,9,13,9.0,8
grafo6196.42,68,56,58.0,53
grafo2182.38,19,19,18.0,11
grafo8423.82,59,61,69.0,53
grafo8303.72,66,67,63.0,51
grafo11446.96,93,88,99.0,77
grafo6090.78,24,29,24.0,18
grafo10649.95,87,76,85.0,65
grafo11077.36,2,3,3.0,2
grafo3681.38,6,5,8.0,4
grafo4687.79,100,92,91.0,71
grafo7401.40,12,15,12.0,10
grafo380.21,4,1,1.0,2
grafo1788.33,6,8,9.0,4
grafo4768.51,8,4,4.0,7
grafo7412.43,11,7,12.0,10
grafo11496.38,1,1,1.0,1
grafo3611.53,9,10,11.0,6
grafo6011.35,9,11,9.0,6
grafo6542.79,21,24,21.0,19
grafo5744.34,8,7,11.0,5
grafo618.13,2,2,2.0,1
grafo6460.40,16,15,18.0,13
grafo4533.77,62,59,73.0,48
grafo7427.66,26,27,27.0,23
grafo9716.64,21,25,23.0,18
grafo4612.61,48,53,48.0,35
grafo11486.37,5,3,3.0,4
grafo11313.96,171,117,142.0,127
grafo4939.59,4,7,6.0,4
grafo2747.16,0,0,0.0,0
grafo307.13,0,0,0.0,0
grafo8177.88,117,88,102.0,86
grafo757.16,1,2,0.0,0
grafo7826.87,66,57,61.0,51
grafo1379.32,3,5,2.0,3
grafo8918.96,37,30,32.0,33
grafo6082.42,28,21,22.0,25
grafo8726.87,125,123,131.0,105
grafo3071.23,0,0,0.0,0
grafo11329.36,20,21,18.0,17
grafo5765.44,20,27,27.0,16
grafo3850.54,9,11,11.0,8
grafo10960.98,114,125,113.0,94
grafo2643.19,1,0,0.0,0
grafo6662.46,35,18,22.0,25
grafo6319.80,51,39,43.0,46
grafo7052.59,20,25,21.0,15
grafo3371.55,5,6,4.0,5
grafo3966.38,1,4,2.0,1
grafo1358.52,18,23,18.0,17
grafo6468.83,60,64,71.0,49
grafo10163.93,68,64,61.0,54
grafo9276.72,67,57,69.0,49
grafo7634.56,48,70,50.0,41
grafo294.21,0,0,0.0,0
grafo2812.11,0,1,0.0,0
grafo2226.39,29,37,35.0,24
grafo5217.78,39,34,36.0,31
grafo10601.93,85,80,81.0,67
grafo7674.93,123,145,112.0,95
grafo3346.55,25,25,28.0,20
grafo10954.94,46,48,53.0,39
grafo318.20,3,6,2.0,3
grafo7188.44,17,16,17.0,12
grafo4715.62,25,16,22.0,15
grafo2953.11,0,0,0.0,0
grafo1215.62,38,40,41.0,31
grafo7325.43,5,10,6.0,4
grafo5672.48,38,44,33.0,32
grafo11281.34,6,3,7.0,6
grafo2786.37,24,27,20.0,21
grafo10779.96,78,58,63.0,64
grafo5110.58,41,48,43.0,34
grafo165.30,1,0,0.0,1
grafo6865.42,10,11,10.0,7
grafo7902.68,49,52,50.0,35
grafo6876.41,4,12,5.0,3
grafo8271.81,64,71,57.0,55
grafo7508.56,40,40,41.0,30
grafo3926.54,21,24,21.0,17
grafo1511.28,0,0,0.0,0
grafo5250.42,14,6,6.0,11
grafo7195.42,16,7,7.0,11
grafo7470.43,15,10,8.0,10
grafo10947.97,76,58,64.0,57
grafo11638.33,3,3,2.0,2
grafo6153.39,10,13,10.0,9
grafo6481.38,6,12,7.0,3
grafo11008.99,191,160,197.0,138
grafo9980.32,5,6,4.0,4
grafo5144.71,62,67,59.0,50
grafo10806.97,148,150,132.0,115
grafo5971.53,61,57,61.0,46
grafo2164.16,0,0,0.0,0
grafo3893.40,4,2,3.0,4
grafo4337.68,53,68,53.0,44
grafo7301.40,7,10,7.0,6
grafo4577.51,24,33,21.0,20
grafo9750.77,58,66,44.0,43
grafo1583.66,13,16,15.0,10
grafo9701.84,39,34,28.0,30
grafo6360.40,22,16,21.0,17
grafo10149.95,119,142,133.0,89
grafo8296.86,81,80,79.0,60
grafo9016.74,17,20,18.0,15
grafo8064.77,75,61,57.0,60
grafo6723.46,30,27,23.0,25
grafo1143.18,0,1,0.0,0
grafo4645.54,13,13,12.0,11
grafo5530.77,38,26,35.0,30
grafo11413.96,49,45,51.0,40
grafo1063.14,0,0,0.0,0
grafo2468.15,1,1,1.0,0
grafo2964.11,0,0,0.0,0
grafo9595.86,85,78,76.0,68
grafo239.15,6,1,2.0,4
grafo9509.64,34,28,33.0,26
grafo3560.36,9,12,9.0,6
grafo9931.39,14,8,9.0,12
grafo7742.46,16,15,16.0,16
grafo5876.40,5,5,5.0,4
grafo10093.98,129,131,112.0,93
grafo3013.23,12,12,5.0,8
grafo376.10,0,0,0.0,0
grafo10577.100,94,89,94.0,72
grafo7222.40,13,12,12.0,12
grafo844.12,1,4,0.0,0
grafo4134.57,47,68,40.0,37
grafo857.11,0,0,0.0,0
grafo1617.21,2,2,2.0,2
grafo2952.38,6,8,4.0,5
grafo8539.87,122,144,105.0,95
grafo8074.68,43,33,44.0,30
grafo8636.74,27,30,30.0,27
grafo596.14,0,0,0.0,0
grafo5413.77,52,49,45.0,36
grafo10064.39,25,32,27.0,18
grafo7358.60,35,27,42.0,29
grafo9797.80,43,54,42.0,35
grafo8504.71,31,23,30.0,21
grafo5400.74,64,66,56.0,52
grafo11551.33,0,0,0.0,0
grafo2238.33,6,4,5.0,4
grafo846.27,3,3,2.0,1
grafo10901.94,100,103,108.0,86
grafo3959.42,6,4,6.0,5
grafo9268.78,130,121,120.0,115
grafo4303.74,38,48,33.0,32
grafo2491.18,0,0,0.0,0
grafo2143.19,9,7,9.0,6
grafo2039.39,1,0,2.0,1
grafo7206.43,7,7,7.0,5
grafo3837.37,25,15,15.0,15
grafo2727.33,4,2,6.0,4
grafo2056.20,0,0,0.0,0
grafo6849.82,32,30,35.0,27
grafo8598.83,52,58,50.0,40
grafo6595.38,20,26,29.0,16
grafo3750.53,15,15,18.0,14
grafo430.13,0,0,0.0,0
grafo6246.41,17,17,18.0,15
grafo3987.40,21,27,22.0,19
grafo7645.37,17,20,19.0,14
grafo6717.38,6,7,7.0,5
grafo6946.42,27,20,21.0,22
grafo3708.38,27,25,24.0,24
grafo9606.87,78,89,89.0,61
grafo9261.82,99,96,108.0,85
grafo2733.14,1,1,1.0,1
grafo398.26,0,0,0.0,0
grafo5041.57,3,4,3.0,3
grafo4477.76,42,33,41.0,31
grafo9211.63,52,52,52.0,39
grafo9641.66,11,8,12.0,8
grafo2535.48,6,8,8.0,3
grafo3755.52,27,24,30.0,23
grafo4168.76,53,69,65.0,41
grafo3086.49,48,36,49.0,33
grafo5593.34,4,6,4.0,3
grafo7049.42,16,18,15.0,15
grafo11666.37,11,13,11.0,11
grafo10858.93,35,31,33.0,21
grafo1954.24,1,1,1.0,1
grafo6502.77,31,16,29.0,26
grafo3936.39,28,22,33.0,25
grafo8633.75,69,58,68.0,52
grafo3305.47,8,7,15.0,5
grafo5898.76,34,28,46.0,27
grafo5218.36,2,4,3.0,2
grafo2710.41,6,6,5.0,4
grafo5669.43,12,9,10.0,10
grafo11119.98,101,111,101.0,81
grafo1254.45,0,0,0.0,0
grafo435.12,0,0,0.0,0
grafo11547.31,1,1,2.0,1
grafo2717.17,0,0,0.0,0
grafo2129.11,5,7,2.0,3
grafo2053.31,6,3,2.0,4
grafo218.17,2,3,1.0,2
grafo10547.94,145,132,140.0,113
grafo9665.65,11,15,11.0,7
grafo449.18,5,6,5.0,5
grafo7122.54,53,41,42.0,37
grafo4036.45,2,0,0.0,2
grafo1329.33,5,7,4.0,2
grafo459.17,1,1,1.0,1
grafo7672.37,2,1,1.0,1
grafo7662.38,4,4,5.0,3
grafo955.13,0,0,0.0,0
grafo267.11,0,0,0.0,0
grafo2338.14,0,0,0.0,0
grafo11535.97,93,64,73.0,58
grafo6873.40,18,18,19.0,14
grafo9589.62,81,92,88.0,67
grafo3093.35,20,18,23.0,16
grafo6052.37,12,14,13.0,9
grafo1406.46,7,4,7.0,6
grafo6868.80,78,70,77.0,63
grafo809.15,0,0,0.0,0
grafo11480.93,70,78,78.0,50
grafo624.17,0,0,0.0,0
grafo8166.75,64,59,68.0,52
grafo3130.41,36,36,31.0,25
grafo7770.57,11,14,12.0,9
grafo5537.43,16,14,15.0,13
grafo9024.75,29,30,30.0,22
grafo5208.39,5,3,4.0,5
grafo4849.54,9,9,9.0,7
grafo11676.38,21,19,29.0,16
grafo2939.19,6,5,6.0,6
grafo9474.70,30,29,31.0,25
grafo960.26,0,0,0.0,0
grafo8137.86,120,137,112.0,95
grafo791.13,0,0,0.0,0
grafo3641.52,48,27,48.0,35
grafo532.11,0,0,0.0,0
grafo138.38,11,15,10.0,6
grafo1710.40,5,6,6.0,4
grafo4285.58,14,12,13.0,13
grafo10322.97,89,77,108.0,69
grafo507.24,0,0,0.0,0
grafo6076.34,4,5,5.0,4
grafo6044.47,7,7,9.0,5
grafo4886.60,14,11,16.0,13
grafo7772.62,19,20,29.0,16
grafo8061.66,42,31,42.0,31
grafo3589.56,11,8,16.0,7
grafo8444.83,100,82,85.0,85
grafo8776.96,57,59,65.0,52
grafo2779.27,0,1,0.0,0
grafo8152.79,39,39,40.0,35
grafo7387.39,5,6,5.0,4
grafo782.10,0,0,0.0,0
grafo9401.80,38,31,32.0,27
