episode,initial_crossings,final_crossings,improvement,episode_reward,mean_loss,epsilon,total_steps
0,521.0,527.0,-6.0,-0.011516314779270637,0.000266395453256363,0.998,100
1,229.0,218.0,11.0,0.04803493449781659,3.564735781310446e-05,0.996004,200
2,167.0,178.0,-11.0,-0.0658682634730539,0.00011744367191568017,0.994011992,300
3,2003.0,1987.0,16.0,0.00798801797304044,5.136871113791131e-05,0.992023968016,400
4,44.0,40.0,4.0,0.09090909090909091,0.000200171145315835,0.990039920079968,500
5,163.0,162.0,1.0,0.006134969325153374,0.0002610857182844484,0.9880598402398081,600
6,212.0,217.0,-5.0,-0.02358490566037736,0.00041403369217732686,0.9860837205593285,700
7,185.0,192.0,-7.0,-0.03783783783783784,0.0003108184243683354,0.9841115531182099,800
8,229.0,225.0,4.0,0.017467248908296942,0.00037996409089828374,0.9821433300119734,900
9,521.0,529.0,-8.0,-0.015355086372360844,0.00034262363231391647,0.9801790433519495,1000
