graph_id,n_nodes,n_edges,neato_xing,diff_gd_xing,rl_xing
113,28,31,3,0,0
114,26,30,0,0,0
115,30,31,0,0,0
116,28,38,12,4,4
117,20,21,0,0,0
118,43,58,20,13,10
119,24,33,3,2,2
120,40,42,1,1,1
121,20,25,5,2,1
122,12,11,0,0,0
123,21,26,5,2,2
124,28,29,1,0,0
125,32,37,2,1,1
126,22,30,6,4,2
127,21,21,1,0,0
128,35,42,6,5,5
129,48,58,9,5,4
130,31,36,2,0,0
131,23,26,0,0,0
132,21,27,1,0,0
133,16,17,2,1,0
134,40,49,22,9,8
135,30,40,8,4,4
136,21,26,3,2,2
137,21,36,30,11,10
138,38,48,11,5,4
139,24,28,0,0,0
140,22,23,0,0,0
141,28,34,2,0,0
142,33,37,0,0,0
143,29,30,1,0,0
144,12,11,0,0,0
145,31,37,4,3,3
146,22,31,6,2,2
147,29,28,0,0,0
148,28,35,4,3,3
149,41,54,12,10,10
150,31,34,4,0,0
151,33,38,6,3,3
152,21,24,1,1,1
153,21,33,16,6,5
154,33,34,0,0,0
155,10,10,0,0,0
156,21,24,1,0,0
157,29,32,0,0,0
158,21,24,0,0,0
159,24,25,2,0,0
160,30,32,0,0,0
161,31,40,7,4,4
162,24,32,3,1,1
163,25,37,11,8,5
164,22,27,4,0,0
165,30,31,1,0,0
166,10,10,0,0,0
167,22,24,1,1,1
168,31,40,2,0,0
169,26,38,15,6,5
170,49,62,17,11,7
171,30,40,12,6,4
172,30,33,1,1,1
173,26,31,1,0,0
174,27,28,0,0,0
175,23,24,1,0,0
176,30,35,2,0,0
177,11,12,1,0,0
178,33,42,8,6,4
179,35,42,6,4,4
180,27,37,6,4,3
181,29,40,15,6,5
182,23,25,1,0,0
183,28,32,2,2,2
184,41,45,2,1,1
185,22,26,3,0,0
186,30,35,0,0,0
187,15,18,0,0,0
188,23,24,0,0,0
189,30,36,1,1,1
190,20,26,4,2,1
191,21,24,1,1,1
192,13,17,2,1,1
193,12,13,0,0,0
194,23,30,6,1,1
195,15,24,7,0,0
196,30,36,3,2,2
197,15,15,0,0,0
198,18,26,5,1,1
199,13,19,1,0,0
200,11,17,1,0,0
201,13,16,1,1,1
202,13,14,0,0,0
203,13,14,0,0,0
204,15,15,1,0,0
205,30,33,0,0,0
206,12,12,0,0,0
207,12,13,1,0,0
208,38,46,13,6,4
209,10,10,0,0,0
210,10,10,0,0,0
211,14,15,1,0,0
212,14,14,0,0,0
213,18,21,1,0,0
214,22,31,5,2,2
215,20,22,0,0,0
216,18,19,1,0,0
217,14,17,1,1,1
218,17,22,2,1,1
219,11,13,0,0,0
220,13,16,1,1,1
221,15,16,1,0,0
222,11,10,0,0,0
223,12,11,0,0,0
224,17,18,0,0,0
225,12,19,7,3,3
226,14,16,1,0,0
227,39,47,9,3,3
228,19,24,0,0,0
229,13,12,0,0,0
230,14,19,2,0,0
231,12,18,1,1,1
232,16,18,2,1,1
233,11,12,0,0,0
234,12,15,1,1,1
235,13,12,0,0,0
236,15,16,0,0,0
237,16,17,1,1,1
238,10,11,0,0,0
239,15,21,6,1,1
240,11,18,5,1,1
241,16,21,4,0,0
242,14,16,0,0,0
243,28,33,3,1,0
244,20,22,3,0,0
245,21,22,0,0,0
246,11,10,0,0,0
247,15,16,1,0,0
248,27,33,3,1,1
249,22,31,11,5,5
251,20,23,4,0,0
252,12,11,0,0,0
253,15,15,0,0,0
254,10,11,1,0,0
255,14,16,1,0,0
256,12,11,0,0,0
257,10,10,0,0,0
258,13,14,0,0,0
259,12,11,0,0,0
260,14,15,0,0,0
261,14,15,3,1,1
262,11,12,1,0,0
263,11,11,0,0,0
264,17,22,1,1,1
265,10,12,1,0,0
266,13,14,0,0,0
267,11,11,0,0,0
268,15,15,0,0,0
269,12,12,0,0,0
270,20,30,8,0,0
271,53,67,16,10,9
272,14,13,0,0,0
273,11,10,0,0,0
274,17,17,1,0,0
275,16,18,2,2,2
276,17,20,2,2,2
277,13,15,0,0,0
278,12,16,3,1,1
279,16,19,0,0,0
280,11,12,0,0,0
281,14,13,0,0,0
282,14,18,2,1,1
283,24,28,5,2,2
284,28,36,4,4,4
285,14,19,1,0,0
286,18,20,0,0,0
287,19,23,2,0,0
288,15,16,0,0,0
289,40,50,4,3,3
290,18,19,1,0,0
291,20,20,0,0,0
292,16,17,0,0,0
293,17,20,1,0,0
294,21,21,0,0,0
295,15,21,3,1,1
296,28,36,8,4,4
297,15,19,1,0,0
298,20,27,2,0,0
299,19,21,0,0,0
300,13,15,0,0,0
301,17,22,0,0,0
302,17,19,1,0,0
303,11,10,0,0,0
304,15,17,0,0,0
305,16,19,0,0,0
306,18,25,5,1,1
307,13,13,0,0,0
308,14,22,6,2,2
309,26,36,3,1,1
310,14,16,1,0,0
311,16,20,3,1,0
312,27,35,6,2,2
313,11,10,0,0,0
314,18,18,0,0,0
315,14,16,0,0,0
316,11,13,0,0,0
317,13,21,8,2,2
318,20,25,3,2,2
320,35,44,8,4,4
321,15,15,0,0,0
322,16,15,0,0,0
323,15,21,4,1,1
324,11,11,0,0,0
325,13,14,0,0,0
326,14,19,8,1,1
327,10,10,0,0,0
328,10,10,0,0,0
329,17,18,0,0,0
330,15,16,0,0,0
331,15,16,1,0,0
332,82,106,50,30,27
333,19,22,1,0,0
334,12,13,0,0,0
335,13,19,0,0,0
336,21,22,0,0,0
337,15,23,9,1,1
338,15,16,0,0,0
339,18,18,0,0,0
340,15,16,0,0,0
341,30,39,7,1,1
342,16,20,0,0,0
343,14,15,0,0,0
344,36,47,12,7,6
345,14,13,0,0,0
346,19,22,1,1,1
347,13,12,0,0,0
348,20,21,1,0,0
349,13,14,1,0,0
350,21,26,4,3,3
351,13,15,1,0,0
352,12,12,0,0,0
353,13,13,0,0,0
354,12,12,0,0,0
355,14,13,0,0,0
356,19,22,0,0,0
357,14,21,4,0,0
358,30,39,1,0,0
359,30,37,4,1,1
360,17,21,3,0,0
361,13,14,0,0,0
362,19,18,0,0,0
363,10,11,1,0,0
364,14,13,0,0,0
365,40,47,4,4,4
366,16,16,0,0,0
367,14,14,0,0,0
368,11,13,1,0,0
369,20,28,5,0,0
370,14,19,3,0,0
371,14,13,0,0,0
372,27,31,3,2,2
373,13,19,3,1,1
374,18,25,2,2,2
375,17,19,2,0,0
376,10,9,0,0,0
377,13,16,0,0,0
378,14,17,0,0,0
379,15,17,0,0,0
380,21,25,4,0,0
381,21,23,3,2,1
382,15,17,0,0,0
383,12,14,1,0,0
384,19,24,5,1,1
385,17,24,2,1,1
386,15,24,8,3,3
387,13,15,1,0,0
388,13,16,1,0,0
389,19,26,6,2,2
390,13,13,0,0,0
391,15,20,3,1,1
392,13,13,0,0,0
393,13,18,1,0,0
394,11,15,3,0,0
395,35,46,3,2,2
396,15,17,0,0,0
397,11,12,1,0,0
398,26,27,0,0,0
399,15,16,1,1,1
400,16,17,1,0,0
401,11,13,0,0,0
402,10,10,0,0,0
403,14,15,0,0,0
404,12,13,0,0,0
405,16,17,1,1,0
406,13,15,1,1,1
407,10,9,0,0,0
408,11,10,0,0,0
409,19,22,2,0,0
410,14,16,0,0,0
411,16,23,4,2,2
412,23,27,2,2,1
413,20,24,2,1,1
414,14,14,0,0,0
415,17,24,2,2,2
416,18,18,0,0,0
417,13,12,0,0,0
418,16,18,0,0,0
419,15,18,1,0,0
420,17,25,5,1,1
421,16,22,2,1,1
422,17,17,1,0,0
423,19,21,0,0,0
424,18,22,3,0,0
425,13,15,2,0,0
426,19,21,1,0,0
427,26,34,4,2,1
428,19,22,0,0,0
429,20,28,7,1,1
430,13,14,0,0,0
431,13,15,0,0,0
432,19,20,0,0,0
433,21,28,2,1,1
434,20,23,1,0,0
435,12,11,0,0,0
436,12,13,0,0,0
437,12,13,0,0,0
438,22,29,4,1,1
439,11,14,0,0,0
440,13,14,0,0,0
441,11,11,0,0,0
442,12,12,0,0,0
443,13,15,2,0,0
444,16,15,0,0,0
445,22,25,2,1,1
446,17,23,5,4,3
447,14,16,0,0,0
448,11,11,0,0,0
449,18,25,5,1,1
450,35,45,8,6,6
451,23,23,0,0,0
452,14,13,0,0,0
453,12,11,0,0,0
454,17,17,0,0,0
455,10,10,0,0,0
456,29,36,10,6,5
457,12,15,0,0,0
458,14,17,2,1,1
459,17,20,1,0,0
460,10,9,0,0,0
461,10,10,0,0,0
462,10,10,0,0,0
463,15,22,2,1,1
464,17,22,1,0,0
465,10,10,0,0,0
466,10,10,0,0,0
467,15,24,8,1,1
468,19,31,8,5,5
469,18,21,1,0,0
470,17,19,2,0,0
471,18,18,0,0,0
472,12,11,0,0,0
473,10,10,0,0,0
474,10,10,0,0,0
475,15,22,3,1,1
476,19,18,0,0,0
477,13,13,0,0,0
478,33,38,3,1,1
479,17,23,3,2,2
480,15,15,0,0,0
481,80,108,85,38,26
482,13,18,2,0,0
483,15,20,3,0,0
484,30,35,0,0,0
485,16,20,1,0,0
486,13,16,0,0,0
487,14,14,0,0,0
488,25,27,0,0,0
489,14,15,0,0,0
490,40,45,1,1,1
491,12,11,0,0,0
492,18,19,0,0,0
493,12,12,0,0,0
494,13,16,0,0,0
495,20,20,0,0,0
496,15,20,2,0,0
497,15,17,1,1,0
498,12,16,1,0,0
499,37,48,15,4,4
500,15,17,1,0,0
501,13,12,0,0,0
502,20,22,0,0,0
503,11,14,2,0,0
504,25,29,3,1,1
505,13,12,0,0,0
506,43,51,9,6,5
507,24,24,0,0,0
508,20,21,1,0,0
509,21,29,6,2,2
510,13,16,1,1,1
511,13,14,1,0,0
512,16,16,0,0,0
513,10,10,0,0,0
514,13,12,0,0,0
515,11,11,0,0,0
516,15,16,0,0,0
517,17,23,2,1,1
518,15,17,2,1,1
519,12,15,1,1,1
520,14,22,5,1,1
521,20,21,0,0,0
522,24,30,3,0,0
523,20,23,1,1,1
524,14,15,0,0,0
525,16,20,2,1,1
526,12,15,0,0,0
527,17,21,1,0,0
528,18,19,0,0,0
529,16,22,5,1,1
530,13,13,1,0,0
531,17,20,0,0,0
532,11,11,0,0,0
533,11,11,0,0,0
534,15,14,0,0,0
535,20,26,4,0,0
536,14,14,0,0,0
537,26,32,2,1,1
538,18,19,0,0,0
539,22,34,12,6,5
540,16,17,1,0,0
541,10,10,0,0,0
542,12,14,0,0,0
543,12,12,0,0,0
544,25,31,4,0,0
545,23,28,4,2,2
546,12,11,0,0,0
547,16,16,0,0,0
548,13,12,0,0,0
549,15,19,2,2,2
550,15,19,1,0,0
551,23,29,0,0,0
552,27,29,1,0,0
553,16,15,0,0,0
554,10,9,0,0,0
555,12,13,0,0,0
556,15,17,0,0,0
557,11,12,1,0,0
558,15,19,1,0,0
559,13,15,0,0,0
560,18,19,0,0,0
562,14,22,8,3,3
563,19,29,14,2,2
564,12,11,0,0,0
565,17,17,0,0,0
566,18,20,0,0,0
567,14,18,0,0,0
568,20,21,0,0,0
569,28,31,0,0,0
570,16,21,1,0,0
571,12,11,0,0,0
572,17,18,1,0,0
573,13,19,4,1,1
574,12,19,3,1,1
575,25,29,3,2,2
576,12,14,0,0,0
577,13,14,0,0,0
578,26,27,0,0,0
579,35,37,0,0,0
580,29,37,9,3,3
581,23,35,2,2,2
582,15,16,0,0,0
583,15,19,3,0,0
584,25,29,2,1,1
585,15,16,1,0,0
586,10,10,0,0,0
587,10,10,0,0,0
588,19,20,0,0,0
589,12,13,0,0,0
590,15,22,3,0,0
591,25,26,1,0,0
592,14,14,0,0,0
593,12,15,1,0,0
594,11,11,0,0,0
595,13,15,0,0,0
596,14,16,0,0,0
597,17,24,3,0,0
598,33,49,19,12,10
599,18,18,0,0,0
600,19,21,1,1,1
601,19,23,3,0,0
602,15,19,2,1,1
603,26,27,0,0,0
604,12,11,0,0,0
605,22,26,0,0,0
606,21,27,4,3,3
607,15,17,0,0,0
608,13,12,0,0,0
609,12,12,0,0,0
610,29,38,9,3,3
611,12,12,0,0,0
612,11,11,0,0,0
613,10,9,0,0,0
614,25,29,3,1,0
615,15,22,5,0,0
616,19,28,7,2,0
617,17,23,2,1,1
618,13,18,2,1,1
619,13,15,1,0,0
620,27,27,0,0,0
621,19,27,6,3,2
622,23,25,3,0,0
623,13,12,0,0,0
624,17,18,0,0,0
625,14,15,0,0,0
626,11,16,1,0,0
627,27,29,0,0,0
628,14,17,1,0,0
629,14,17,0,0,0
630,21,28,2,1,1
631,16,17,1,0,0
632,13,16,2,2,1
633,10,9,0,0,0
634,24,31,2,1,0
635,13,17,1,1,1
636,29,30,1,0,0
637,13,12,0,0,0
638,12,17,0,0,0
639,14,20,0,0,0
640,16,16,1,0,0
641,21,23,0,0,0
642,14,15,0,0,0
643,12,14,0,0,0
644,14,17,0,0,0
645,17,19,2,0,0
646,25,25,0,0,0
647,78,99,30,14,12
648,39,41,1,1,1
649,14,25,9,2,2
650,12,11,0,0,0
651,16,15,0,0,0
652,14,13,0,0,0
653,12,12,0,0,0
654,25,24,0,0,0
655,23,23,0,0,0
656,22,28,4,4,3
657,15,22,2,0,0
658,15,20,1,0,0
659,14,17,0,0,0
660,13,20,5,0,0
661,16,17,0,0,0
662,14,15,0,0,0
663,19,20,1,1,1
664,22,26,3,2,1
665,13,13,0,0,0
666,12,14,1,0,0
667,12,12,0,0,0
668,16,18,0,0,0
669,12,12,0,0,0
670,15,18,2,2,2
671,13,15,0,0,0
672,39,40,2,1,1
673,18,22,0,0,0
674,15,18,2,0,0
675,11,11,0,0,0
676,11,10,0,0,0
677,17,21,0,0,0
678,17,25,3,1,1
679,20,25,2,1,1
680,37,44,1,0,0
681,35,48,13,6,6
682,16,18,1,1,1
683,22,27,2,2,1
684,12,17,1,1,1
685,11,11,0,0,0
686,23,25,2,0,0
687,14,22,4,4,4
688,10,10,0,0,0
689,10,10,0,0,0
690,11,17,4,1,1
691,12,12,0,0,0
692,22,30,7,1,1
693,16,19,0,0,0
694,22,23,0,0,0
695,36,54,18,12,11
696,12,18,2,0,0
697,15,25,6,4,4
698,20,27,7,3,3
699,14,13,0,0,0
700,14,13,0,0,0
701,14,20,1,1,1
702,12,14,0,0,0
703,19,31,9,2,2
704,17,19,1,0,0
705,16,23,8,3,3
706,18,25,2,1,1
707,15,16,0,0,0
708,22,30,4,3,3
709,17,21,1,0,0
710,15,21,4,2,2
711,13,15,0,0,0
712,21,27,5,3,3
713,12,13,0,0,0
714,13,15,1,0,0
715,30,32,0,0,0
716,13,13,0,0,0
717,10,10,0,0,0
718,10,10,0,0,0
719,14,13,0,0,0
720,14,16,0,0,0
721,17,20,1,0,0
722,15,17,0,0,0
723,17,20,0,0,0
724,18,21,0,0,0
725,15,15,0,0,0
726,14,15,0,0,0
727,13,19,3,0,0
728,28,33,0,0,0
729,15,15,0,0,0
730,12,13,1,0,0
731,14,15,0,0,0
732,35,44,13,3,3
733,43,54,8,5,5
734,14,18,2,0,0
735,15,14,0,0,0
736,13,14,0,0,0
737,14,14,0,0,0
738,12,15,2,1,1
739,15,18,0,0,0
740,11,12,1,0,0
741,14,14,0,0,0
742,13,15,1,0,0
743,32,37,2,1,1
744,28,29,1,1,1
745,32,36,4,1,1
746,13,14,0,0,0
747,12,13,0,0,0
748,11,11,0,0,0
749,11,10,0,0,0
750,12,11,0,0,0
751,11,12,1,0,0
752,76,95,36,23,19
753,26,28,1,0,0
754,16,21,1,1,1
755,20,21,0,0,0
756,12,11,0,0,0
757,16,19,1,0,0
758,10,10,0,0,0
759,11,12,0,0,0
760,13,14,0,0,0
761,13,13,0,0,0
762,27,31,3,1,1
763,18,23,2,1,0
764,23,26,4,1,1
765,37,47,4,3,3
766,12,12,0,0,0
767,22,22,0,0,0
768,28,31,2,1,1
769,14,13,0,0,0
770,12,12,0,0,0
771,19,18,0,0,0
772,11,13,0,0,0
773,12,14,0,0,0
774,17,18,0,0,0
775,17,23,3,0,0
776,36,52,17,10,7
777,14,14,0,0,0
778,15,17,1,0,0
779,13,15,0,0,0
780,15,17,0,0,0
781,12,12,0,0,0
782,10,9,0,0,0
783,15,20,2,0,0
784,18,23,3,0,0
785,16,16,0,0,0
786,20,23,1,0,0
787,15,18,2,1,1
788,16,25,8,3,3
789,24,30,0,0,0
790,17,18,1,0,0
791,13,15,0,0,0
792,13,14,0,0,0
793,13,15,2,0,0
794,19,21,0,0,0
795,14,20,5,0,0
796,14,19,1,0,0
797,14,15,0,0,0
798,26,32,7,5,4
799,49,59,15,3,3
800,12,11,0,0,0
801,13,13,0,0,0
802,17,20,0,0,0
803,15,18,0,0,0
804,21,22,0,0,0
805,13,22,7,1,1
806,15,16,1,0,0
807,12,12,0,0,0
808,12,11,0,0,0
809,15,14,0,0,0
810,16,17,1,1,0
811,14,20,1,0,0
812,14,17,1,0,0
813,13,19,2,0,0
814,14,14,0,0,0
815,15,15,0,0,0
816,17,18,1,1,1
817,18,19,1,0,0
818,13,14,0,0,0
819,38,49,13,3,2
820,18,21,1,0,0
821,16,22,0,0,0
822,11,13,0,0,0
823,16,16,0,0,0
824,12,12,0,0,0
825,15,17,1,0,0
826,22,22,0,0,0
827,12,13,0,0,0
828,22,24,0,0,0
829,17,21,2,1,0
830,27,27,0,0,0
831,16,17,0,0,0
832,21,28,4,2,2
833,13,17,1,0,0
834,11,12,0,0,0
835,23,27,5,1,1
836,10,10,0,0,0
837,10,10,0,0,0
838,16,15,0,0,0
839,14,17,0,0,0
840,17,19,1,1,1
841,14,13,0,0,0
842,21,24,3,2,2
843,14,14,0,0,0
844,12,18,1,0,0
845,16,17,0,0,0
846,27,32,3,0,0
847,22,29,4,3,3
848,13,14,0,0,0
849,11,11,0,0,0
850,12,13,0,0,0
851,17,19,2,1,1
852,19,22,1,1,1
853,16,16,0,0,0
854,12,11,0,0,0
855,15,17,1,1,1
856,11,12,0,0,0
857,11,11,0,0,0
858,23,28,1,1,1
859,30,34,1,0,0
860,31,35,4,0,0
861,12,12,0,0,0
862,25,28,4,0,0
863,18,19,1,1,1
864,16,20,3,1,1
865,28,35,1,0,0
866,19,21,0,0,0
867,12,11,0,0,0
868,12,12,0,0,0
869,10,10,0,0,0
870,10,10,0,0,0
871,14,17,2,0,0
872,24,28,2,2,2
873,20,25,3,1,1
874,20,25,3,0,0
875,20,21,0,0,0
876,38,45,7,2,2
877,16,17,1,0,0
878,13,16,1,0,0
879,15,20,1,0,0
880,17,16,0,0,0
881,10,9,0,0,0
882,26,27,0,0,0
883,14,15,2,1,1
884,17,23,1,1,1
885,18,24,3,1,1
886,15,15,0,0,0
887,13,15,0,0,0
888,12,13,0,0,0
889,21,28,1,0,0
890,13,16,0,0,0
891,13,13,0,0,0
892,23,25,0,0,0
893,17,21,1,0,0
894,16,24,10,0,0
895,12,11,0,0,0
896,16,24,6,1,1
897,12,12,0,0,0
898,10,9,0,0,0
899,14,15,0,0,0
900,11,13,0,0,0
901,21,24,3,1,1
902,22,22,0,0,0
903,17,18,1,1,1
904,20,22,1,0,0
905,15,18,1,1,1
906,12,11,0,0,0
907,10,10,0,0,0
908,12,14,1,0,0
909,47,52,1,1,1
910,10,9,0,0,0
911,12,13,0,0,0
912,14,13,0,0,0
913,15,15,0,0,0
914,26,42,19,9,9
915,24,32,5,2,2
916,83,110,53,34,29
917,17,20,1,0,0
918,24,24,0,0,0
919,12,14,2,0,0
920,24,25,0,0,0
921,16,18,1,0,0
922,14,19,1,1,1
923,17,22,2,0,0
924,19,21,1,0,0
925,21,31,5,2,2
926,14,17,0,0,0
927,11,10,0,0,0
928,13,15,1,0,0
929,16,21,3,1,1
930,13,19,2,1,1
931,13,15,1,0,0
932,28,35,5,4,4
933,12,11,0,0,0
934,16,22,1,1,1
935,21,38,12,7,7
936,12,12,0,0,0
937,11,10,0,0,0
938,10,14,0,0,0
939,15,16,0,0,0
940,20,22,0,0,0
941,29,35,1,0,0
942,31,35,0,0,0
943,21,26,4,1,1
944,14,13,0,0,0
945,17,22,1,0,0
946,22,25,1,0,0
947,15,24,11,2,2
948,15,20,1,1,1
949,10,10,0,0,0
950,19,23,0,0,0
951,13,18,1,0,0
952,19,22,1,0,0
953,18,18,0,0,0
954,12,11,0,0,0
955,13,12,0,0,0
956,14,15,0,0,0
957,12,11,0,0,0
958,13,16,0,0,0
959,24,26,0,0,0
960,26,27,0,0,0
961,10,10,0,0,0
962,10,10,0,0,0
963,19,21,1,1,1
964,13,16,2,2,1
965,15,15,0,0,0
966,13,13,0,0,0
967,16,17,1,0,0
968,13,21,3,1,1
969,12,12,0,0,0
970,12,16,2,1,1
971,17,20,1,0,0
972,18,19,0,0,0
973,14,13,0,0,0
974,14,13,0,0,0
975,36,48,11,6,5
976,19,25,2,1,1
977,19,19,0,0,0
978,10,10,0,0,0
979,13,21,3,1,1
980,20,20,0,0,0
981,16,20,0,0,0
982,15,16,0,0,0
983,19,20,0,0,0
984,18,24,5,1,1
985,15,18,3,1,1
986,12,11,0,0,0
987,27,30,2,1,1
988,11,11,0,0,0
989,13,14,0,0,0
990,13,13,0,0,0
991,13,14,1,0,0
992,16,22,4,0,0
993,18,23,1,0,0
994,13,16,1,0,0
995,18,17,0,0,0
996,11,13,1,0,0
997,11,12,1,0,0
998,16,15,0,0,0
999,13,13,0,0,0
1000,14,20,2,0,0
1001,12,12,0,0,0
1002,20,21,0,0,0
1003,11,12,0,0,0
1004,11,12,0,0,0
1005,11,11,0,0,0
1006,11,12,1,0,0
1007,20,22,1,0,0
1008,12,11,0,0,0
1009,17,17,0,0,0
1010,10,10,0,0,0
1011,19,24,1,0,0
1012,22,24,0,0,0
1013,15,23,4,1,1
1014,14,18,1,0,0
1015,16,21,5,1,1
1016,18,19,0,0,0
1017,15,16,0,0,0
1018,29,36,3,2,2
1019,11,11,0,0,0
1020,12,11,0,0,0
1021,14,14,0,0,0
1022,17,18,1,0,0
1023,11,11,0,0,0
1024,20,21,1,0,0
1025,15,16,0,0,0
1026,26,36,10,3,3
1027,11,13,0,0,0
1028,16,22,4,1,1
1029,16,16,0,0,0
1030,15,16,1,0,0
1031,16,17,1,0,0
1032,10,9,0,0,0
1033,24,27,0,0,0
1034,29,32,4,1,1
1035,37,51,16,9,5
1036,20,24,0,0,0
1037,22,30,3,2,2
1038,23,24,0,0,0
1039,14,21,6,0,0
1040,25,32,1,1,1
1041,49,53,2,0,0
1042,14,18,0,0,0
1043,15,19,0,0,0
1044,23,25,0,0,0
1045,29,39,13,5,2
1046,17,22,5,1,1
1047,16,20,2,0,0
1048,18,25,6,2,2
1049,21,22,0,0,0
1050,18,28,13,3,3
1051,34,38,0,0,0
1052,22,34,9,5,2
1053,32,41,2,2,2
1054,11,15,2,0,0
1055,19,29,5,5,5
1056,17,22,3,0,0
1057,16,17,0,0,0
1058,14,13,0,0,0
1059,18,18,0,0,0
1060,11,12,0,0,0
1061,11,11,0,0,0
1062,15,19,1,0,0
1063,14,15,0,0,0
1064,21,26,2,1,1
1065,14,13,0,0,0
1066,11,11,0,0,0
1067,13,13,0,0,0
1068,12,11,0,0,0
1069,16,15,0,0,0
1070,10,10,0,0,0
1071,10,10,0,0,0
1072,14,18,3,0,0
1073,51,64,19,9,6
1074,14,19,2,0,0
1075,47,62,21,14,13
1076,18,24,8,4,4
1077,11,12,0,0,0
1078,11,12,0,0,0
1079,19,18,0,0,0
1080,16,18,0,0,0
1081,15,24,6,0,0
1082,23,24,0,0,0
1083,14,15,0,0,0
1084,11,10,0,0,0
1085,17,18,1,0,0
1086,18,26,7,5,5
1087,14,19,2,2,2
1088,11,17,2,0,0
1089,23,22,0,0,0
1090,29,33,1,0,0
1091,21,29,2,1,1
1092,42,53,14,9,8
1093,15,17,2,0,0
1094,17,19,0,0,0
1095,11,14,1,1,1
1096,44,58,16,12,12
1097,16,18,2,0,0
1098,10,9,0,0,0
1099,11,11,0,0,0
1100,11,12,1,0,0
1101,25,37,10,5,4
1102,29,29,1,0,0
1103,24,28,0,0,0
1104,21,24,0,0,0
1105,19,24,2,1,1
1106,21,35,24,16,16
1107,15,19,1,0,0
1108,18,25,2,1,1
1109,24,33,9,4,4
1110,20,22,1,0,0
1111,15,23,10,2,2
1112,16,23,2,1,1
1113,20,23,0,0,0
1114,24,35,2,0,0
1115,31,43,11,8,5
1116,16,17,1,0,0
1117,11,10,0,0,0
1118,22,23,2,0,0
1119,16,22,6,0,0
1120,10,10,0,0,0
1121,17,20,1,0,0
1122,17,17,0,0,0
1123,10,10,0,0,0
1124,15,16,1,1,1
1125,21,29,7,2,2
1126,10,9,0,0,0
1127,19,22,2,0,0
1128,11,12,0,0,0
1129,15,27,13,6,5
1130,23,39,19,10,9
1131,11,12,0,0,0
1132,19,19,0,0,0
1133,18,23,1,1,1
1134,11,12,1,0,0
1135,21,22,0,0,0
1136,15,17,0,0,0
1137,10,9,0,0,0
1138,15,14,0,0,0
1139,15,14,0,0,0
1140,15,22,3,2,2
1141,47,59,8,3,3
1142,15,24,2,0,0
1143,18,20,0,0,0
1144,16,21,2,2,2
1145,18,24,3,0,0
1146,18,29,5,5,5
1147,18,19,0,0,0
1148,17,22,0,0,0
1149,29,31,0,0,0
1150,16,21,4,0,0
1151,11,17,2,0,0
1152,18,24,4,1,0
1153,21,23,1,0,0
1154,22,28,3,2,2
1155,11,12,1,0,0
1156,14,16,0,0,0
1157,38,48,10,4,4
1158,24,34,6,3,3
1159,26,33,4,2,2
1160,17,23,5,2,2
1161,17,18,0,0,0
1162,11,11,0,0,0
1163,19,18,0,0,0
1164,10,10,0,0,0
1165,16,23,10,2,1
1166,11,12,0,0,0
1167,31,34,3,0,0
1168,24,25,1,0,0
1169,18,20,0,0,0
1170,27,28,0,0,0
1171,22,25,1,1,1
1172,19,23,2,0,0
1173,16,20,2,0,0
1174,33,41,6,3,3
1175,19,21,2,1,1
1176,11,13,0,0,0
1177,16,15,0,0,0
1178,29,30,0,0,0
1179,17,19,1,0,0
1180,66,87,28,16,15
1181,30,40,7,4,3
1182,50,59,3,2,2
1183,30,39,4,2,2
1184,25,25,1,0,0
1185,26,32,8,4,3
1186,47,65,35,22,18
1187,49,64,8,6,6
1188,54,70,11,8,7
1189,65,81,14,8,7
1190,28,32,4,1,1
1191,25,27,0,0,0
1192,60,79,18,15,10
1193,26,28,1,0,0
1194,28,30,0,0,0
1195,27,31,0,0,0
1196,29,36,6,1,1
1197,74,95,48,26,22
1198,29,29,0,0,0
1199,27,30,2,1,1
1200,27,36,1,1,1
1201,28,38,7,5,2
1202,28,36,5,4,3
1203,25,28,1,0,0
1204,27,31,1,1,1
1205,56,76,26,13,13
1206,29,36,3,2,2
1207,29,35,4,2,2
1208,27,33,1,0,0
1209,29,32,1,0,0
1210,51,60,4,3,3
1211,56,65,12,4,4
1212,53,72,28,19,18
1213,68,86,18,15,12
1214,26,26,0,0,0
1215,62,82,38,27,25
1216,27,28,0,0,0
1217,27,29,1,0,0
1218,26,28,0,0,0
1219,44,48,1,0,0
1220,25,31,1,0,0
1221,27,36,11,1,1
1222,52,59,3,2,2
